maneuver_id,time_since_start,drone_name,velocity_magnitude
20260129_010825,0.4962,crazyflie,0.4926
20260129_010825,0.4963,crazyflie3,0.4923
20260129_010825,0.4964,crazyflie10,0.1427
20260129_010825,0.4988,crazyflie9,0.4936
20260129_010825,0.5010,crazyflie4,0.4930
20260129_010825,0.5053,crazyflie6,0.4926
20260129_010825,0.5105,crazyflie5,0.4833
20260129_010825,0.5107,crazyflie7,0.4935
20260129_010825,0.5109,crazyflie8,0.4920
20260129_010825,0.5180,crazyflie,0.4943
20260129_010825,0.5182,crazyflie3,0.4941
20260129_010825,0.5183,crazyflie10,0.1673
20260129_010825,0.5187,crazyflie2,0.4950
20260129_010825,0.5205,crazyflie9,0.4951
20260129_010825,0.5223,crazyflie4,0.4946
20260129_010825,0.5272,crazyflie6,0.4943
20260129_010825,0.5326,crazyflie5,0.4871
20260129_010825,0.5327,crazyflie7,0.4950
20260129_010825,0.5328,crazyflie8,0.4939
20260129_010825,0.5395,crazyflie,0.4956
20260129_010825,0.5399,crazyflie2,0.4961
20260129_010825,0.5400,crazyflie3,0.4955
20260129_010825,0.5401,crazyflie10,0.2095
20260129_010825,0.5422,crazyflie9,0.4962
20260129_010825,0.5443,crazyflie4,0.4959
20260129_010825,0.5484,crazyflie6,0.4956
20260129_010825,0.5547,crazyflie5,0.4901
20260129_010825,0.5549,crazyflie7,0.4962
20260129_010825,0.5551,crazyflie8,0.4953
20260129_010825,0.5624,crazyflie,0.4966
20260129_010825,0.5627,crazyflie2,0.4970
20260129_010825,0.5629,crazyflie3,0.4965
20260129_010825,0.5631,crazyflie10,0.2646
20260129_010825,0.5653,crazyflie9,0.4956
20260129_010825,0.5675,crazyflie4,0.4968
20260129_010825,0.5726,crazyflie6,0.4966
20260129_010825,0.5779,crazyflie5,0.4923
20260129_010825,0.5781,crazyflie7,0.4971
20260129_010825,0.5782,crazyflie8,0.4964
20260129_010825,0.5861,crazyflie2,0.4977
20260129_010825,0.5864,crazyflie3,0.4973
20260129_010825,0.5865,crazyflie10,0.3191
